Elapsed Time,Distance,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade
17910,24.28,15783,24281.19922,4.599999905,1465.27002,1034.5,1768.5,49.59999847,0.00164737
3169,8.89,3015,8891.400391,12.69999981,26.94210052,125.8000031,139.3000031,17,0.044987299
3546,10.03,3217,10030.59961,11.5,22.31559944,125.8000031,134,11.19999981,-0.059817001
2936,9.76,2931,9768.599609,5.300000191,24.45980072,125.8000031,134,13.19999981,0
4212,11.26,3953,11266.59961,6.599999905,49.11800003,135.6000061,159,24.60000038,-0.000887579
37826,27.38,35178,27379.30078,14.80000019,1008.919983,1863.300049,2561,49,0.0018262
3344,5.13,1887,5129.700195,4.400000095,12.95699978,127.5999985,133.1000061,13.69999981,0.0155955
1911,3.55,1313,3554.5,5,177.2129974,280.8999939,377.2000122,39.09999847,-0.0112533
4314,9.99,3887,9991.099609,7.599999905,284.1499939,132.1000061,236.1999969,45.29999924,0.078069501
2328,6.75,2283,6753.899902,5.099999905,11.62621307,130,136.3000031,6.800000191,-0.002961252
3009,7.39,2536,7390.899902,4.599999905,21.22470093,125.8000031,134,11.19999981,-0.00541206
39321,3.81,39004,3817.199951,2.599999905,478.1080017,2537.899902,2999.600098,50,-0.083831102
17795,13.9,17789,13902.90039,4.599999905,792.3549805,2535.899902,2893.399902,50,0.091347903
27892,6.65,4242,6657,4.800000191,576.1459961,2535,2879.199951,50,0.066095799
46944,10.15,39625,10157.09961,10.60000038,1492.069946,2535.5,3116.399902,49.59999847,2.125610113
15782,17.66,11467,17666.90039,4.5,84.47979736,1581.5,2548.899902,31.5,-5.378990173
66999,39.12,66187,39120.5,4.099999905,2230.469971,2249.399902,3045.300049,50,0.030163201
3700,8.6,3423,8602.700195,7.300000191,193.9629974,132.8000031,236.1999969,23.10000038,-0.0046497
23195,19.73,13339,19735.19922,6.5,1109.030029,1580,2539.399902,48.90000153,4.829440117
4292,9.5,4109,9508.700195,7.699999809,499.1080017,158.3999939,623.2000122,50,0.029446701
5632,12.67,4680,12675.09961,5.900000095,318.4870605,131.8999939,377.2000122,40.40000153,0.000788948
3020,5.75,2952,5752.5,3.700000048,274.776001,1230.099976,1471.400024,49,3.928730011
4537,9.47,4350,9477.400391,6,494.4039917,159.5,621.7999878,50,0.017937399
9840,21.63,9176,21631,7.400000095,988.742981,283.3999939,915.4000244,49.09999847,-0.0124821
2432,7.27,2285,7270,5.300000191,7.594175816,129,134,12.60000038,0.001375516
2629,8.36,2603,8368.200195,5.800000191,30.34340668,132.6999969,159,9,0.00239
